"","Player","Pos","Team","year","Age","G","PERz","WSper48z","BPMz","VORPz","score"
"11515","Michael Jordan","SG","CHI",1988,24,82,4.3,3.99,5.02,7.68,20.99
"10161","LeBron James","SF","CLE",2009,24,81,4.3,4.18,5.09,7.21,20.79
"11518","Michael Jordan","SG","CHI",1991,27,82,4.28,4.24,4.65,6.55,19.71
"11516","Michael Jordan","SG","CHI",1989,25,81,4.16,3.7,4.61,6.95,19.41
"3989","David Robinson","C","SAS",1994,28,80,4.06,3.77,4.61,6.95,19.39
"10165","LeBron James","PF","MIA",2013,28,76,4.28,4.25,4.54,5.96,19.03
"10162","LeBron James","SF","CLE",2010,25,76,4.16,3.83,4.57,6.22,18.78
"15030","Stephen Curry","PG","GSW",2016,27,79,4.25,4.18,4.61,5.69,18.74
"11517","Michael Jordan","SG","CHI",1990,26,82,4.18,3.57,4.35,6.42,18.52
"11522","Michael Jordan","SG","CHI",1996,32,82,3.74,4.16,4.09,5.89,17.89
"2841","Chris Paul","PG","NOH",2009,23,78,3.89,3.7,4.28,5.96,17.82
"11520","Michael Jordan","SG","CHI",1993,29,78,3.81,3.29,4.35,6.16,17.61
"9382","Kevin Durant","SF","OKC",2014,25,81,3.84,3.75,3.98,5.76,17.34
"11514","Michael Jordan","SG","CHI",1987,23,82,3.84,2.87,4.2,6.42,17.33
"9417","Kevin Garnett","PF","MIN",2004,27,82,3.74,3.33,3.98,6.02,17.08
"7115","James Harden","PG","HOU",2019,29,78,4.03,3,4.28,5.56,16.87
"16044","Tracy McGrady","SG","ORL",2003,23,75,3.96,3.14,4.09,5.56,16.76
"2840","Chris Paul","PG","NOH",2008,22,80,3.47,3.55,4.06,5.56,16.64
"10160","LeBron James","SF","CLE",2008,23,75,3.67,2.77,4.24,5.89,16.58
"14704","Shaquille O'Neal","C","LAL",2000,27,79,4.03,3.53,3.65,5.36,16.58
"10164","LeBron James","SF","MIA",2012,27,62,4.06,3.81,4.24,4.44,16.55
"5013","Dwyane Wade","SG","MIA",2009,27,79,3.99,2.59,4.13,5.76,16.47
"14163","Russell Westbrook","PG","OKC",2017,28,81,4.03,2.44,4.31,5.56,16.35
"6038","Giannis Antetokounmpo","PF","MIL",2019,24,72,4.11,3.7,4.06,4.31,16.17
"9381","Kevin Durant","SF","OKC",2013,24,81,3.47,3.68,3.65,5.3,16.1
"11519","Michael Jordan","SG","CHI",1992,28,80,3.33,3.37,3.8,5.5,15.99
"7114","James Harden","SG","HOU",2018,28,72,3.84,3.64,3.87,4.5,15.86
"3991","David Robinson","C","SAS",1996,30,82,3.74,3.66,3.5,4.9,15.81
"3990","David Robinson","C","SAS",1995,29,81,3.67,3.35,3.61,5.17,15.8
"6039","Giannis Antetokounmpo","PF","MIL",2020,25,57,4.28,3.51,4.46,3.38,15.64
"10565","Magic Johnson","PG","LAL",1990,30,79,3.06,3.29,3.95,5.3,15.59
"15029","Stephen Curry","PG","GSW",2015,26,80,3.4,3.62,3.87,4.64,15.53
"9418","Kevin Garnett","PF","MIN",2005,28,82,3.45,2.89,3.72,5.43,15.49
"11523","Michael Jordan","SG","CHI",1997,33,82,3.35,3.53,3.5,5.1,15.49
"10158","LeBron James","SF","CLE",2006,21,79,3.42,2.59,3.58,5.63,15.22
"9384","Kevin Durant","SF","OKC",2016,27,72,3.45,3.29,3.87,4.57,15.18
"10166","LeBron James","PF","MIA",2014,29,77,3.72,3.18,3.47,4.64,15
"10564","Magic Johnson","PG","LAL",1989,29,77,3.13,3.24,3.69,4.9,14.96
"822","Anthony Davis","PF","NOP",2015,21,68,4.08,3.37,3.5,3.84,14.8
"4642","Dirk Nowitzki","PF","DAL",2006,27,81,3.42,3.38,3.21,4.64,14.65
"3986","David Robinson","C","SAS",1991,25,82,3.25,3.18,3.36,4.84,14.63
"9006","Karl Malone","PF","UTA",1997,33,82,3.62,3.26,3.25,4.5,14.62
"9965","Larry Bird","SF","BOS",1987,30,74,3.01,2.79,3.69,5.1,14.59
"7111","James Harden","SG","HOU",2015,25,81,3.08,3.2,3.47,4.77,14.52
"10562","Magic Johnson","PG","LAL",1987,27,80,3.16,3.16,3.47,4.7,14.49
"2466","Charles Barkley","SF","PHI",1990,26,79,3.18,3.27,3.25,4.7,14.4
"2467","Charles Barkley","SF","PHI",1991,27,67,3.62,3.07,3.65,4.04,14.38
"3987","David Robinson","C","SAS",1992,26,68,3.28,3.11,3.69,4.31,14.38
"9966","Larry Bird","SF","BOS",1988,31,76,3.35,2.79,3.47,4.77,14.38
"9963","Larry Bird","SF","BOS",1985,28,80,3.03,2.7,3.47,5.17,14.37
"4643","Dirk Nowitzki","PF","DAL",2007,28,78,3.3,3.44,3.28,4.31,14.33
"9020","Kawhi Leonard","SF","SAS",2017,25,74,3.3,3.18,3.69,4.11,14.28
"7113","James Harden","PG","HOU",2017,27,81,3.25,2.83,3.43,4.7,14.22
"10170","LeBron James","PF","CLE",2018,33,82,3.55,2.39,3.43,4.84,14.2
"5014","Dwyane Wade","SG","MIA",2010,28,77,3.4,2.44,3.61,4.64,14.09
"9964","Larry Bird","SF","BOS",1986,29,82,2.81,2.81,3.43,4.97,14.02
"9467","Kevin Love","PF","MIN",2014,25,77,3.13,2.83,3.5,4.5,13.97
"10168","LeBron James","SF","CLE",2016,31,76,3.28,2.77,3.54,4.37,13.96
"9416","Kevin Garnett","PF","MIN",2003,26,82,3.01,2.46,3.32,5.17,13.95
"10566","Magic Johnson","PG","LAL",1991,31,79,2.69,2.94,3.54,4.77,13.94
"14705","Shaquille O'Neal","C","LAL",2001,28,74,3.94,2.83,3.06,4.11,13.94
"15628","Tim Duncan","PF","SAS",2002,25,82,3.16,3.05,3.02,4.7,13.93
"10163","LeBron James","SF","MIA",2011,26,79,3.23,2.81,3.21,4.57,13.82
"9019","Kawhi Leonard","SF","SAS",2016,24,72,2.91,3.42,3.58,3.84,13.75
"2845","Chris Paul","PG","LAC",2013,27,70,3.01,3.61,3.47,3.65,13.73
"10157","LeBron James","SF","CLE",2005,20,80,2.84,2.05,3.39,5.43,13.71
"2844","Chris Paul","PG","LAC",2012,26,60,3.16,3.44,3.61,3.45,13.66
"2464","Charles Barkley","PF","PHI",1988,24,80,3.3,2.98,2.95,4.37,13.6
"14706","Shaquille O'Neal","C","LAL",2002,29,67,3.81,3.14,3.17,3.45,13.58
"9664","Kobe Bryant","SG","LAL",2006,27,80,3.4,2.44,3.02,4.7,13.57
"2847","Chris Paul","PG","LAC",2015,29,82,2.91,3.29,3.17,4.17,13.55
"15629","Tim Duncan","PF","SAS",2003,26,81,3.13,2.89,3.02,4.5,13.55
"3993","David Robinson","C","SAS",1998,32,73,3.35,3.27,3.28,3.58,13.49
"9007","Karl Malone","PF","UTA",1998,34,81,3.38,3.09,2.91,4.11,13.49
"7116","James Harden","SG","HOU",2020,30,61,3.5,2.83,3.54,3.58,13.45
"826","Anthony Davis","C","NOP",2019,25,56,3.96,2.87,3.69,2.92,13.44
"9385","Kevin Durant","PF","GSW",2017,28,62,3.3,3.44,3.5,3.18,13.43
"6357","Hakeem Olajuwon","C","HOU",1993,30,82,3.23,2.63,2.99,4.57,13.41
"14698","Shaquille O'Neal","C","ORL",1994,21,81,3.52,2.96,2.73,4.17,13.38
"2465","Charles Barkley","PF","PHI",1989,25,79,3.16,2.92,2.99,4.31,13.37
"8459","John Stockton","PG","UTA",1990,27,78,2.4,2.7,3.5,4.7,13.31
"9419","Kevin Garnett","PF","MIN",2006,29,76,3.11,2.77,3.1,4.31,13.29
"15630","Tim Duncan","PF","SAS",2004,27,69,3.18,2.9,3.36,3.84,13.28
"5010","Dwyane Wade","SG","MIA",2006,24,75,3.3,2.72,3.06,4.11,13.19
"9009","Karl Malone","PF","UTA",2000,36,82,3.18,2.9,2.99,4.11,13.18
"6141","Grant Hill","SF","DET",1997,24,80,2.79,2.42,3.25,4.7,13.16
"14162","Russell Westbrook","PG","OKC",2016,27,80,3.3,2.83,3.1,3.91,13.14
"12301","Nikola Jokic","C","DEN",2019,23,80,2.98,2.48,3.58,4.04,13.08
"8464","John Stockton","PG","UTA",1995,32,82,2.25,2.61,3.54,4.64,13.04
"8458","John Stockton","PG","UTA",1989,26,82,2.15,2.66,3.28,4.9,13
"2469","Charles Barkley","PF","PHO",1993,29,76,2.89,2.77,3.1,4.11,12.87
"9378","Kevin Durant","SF","OKC",2010,21,82,2.96,2.7,2.84,4.37,12.87
"4641","Dirk Nowitzki","PF","DAL",2005,26,78,2.94,2.89,2.91,4.11,12.84
"4639","Dirk Nowitzki","PF","DAL",2003,24,80,2.81,2.9,2.88,4.24,12.83
"2846","Chris Paul","PG","LAC",2014,28,62,2.89,3.29,3.39,3.25,12.82
"9002","Karl Malone","PF","UTA",1993,29,82,2.96,2.7,2.91,4.24,12.81
"8457","John Stockton","PG","UTA",1988,25,82,2.23,2.7,3.36,4.44,12.72
"827","Anthony Davis","PF","LAL",2020,26,55,3.45,3.14,3.36,2.72,12.67
"8460","John Stockton","PG","UTA",1991,28,82,2.28,2.31,3.28,4.77,12.64
"10159","LeBron James","SF","CLE",2007,22,78,2.55,2.11,3.21,4.77,12.63
"8461","John Stockton","PG","UTA",1992,29,82,2.13,2.28,3.43,4.77,12.6
"9421","Kevin Garnett","PF","BOS",2008,31,71,2.74,3.2,3.25,3.38,12.57
"14161","Russell Westbrook","PG","OKC",2015,26,67,3.67,2.4,3.21,3.25,12.53
"9661","Kobe Bryant","SG","LAL",2003,24,82,2.96,2.18,2.84,4.5,12.49
"3114","Clyde Drexler","SG","POR",1992,29,76,2.33,2.42,3.43,4.31,12.48
"2848","Chris Paul","PG","LAC",2016,30,74,2.96,2.98,3.13,3.38,12.45
"9005","Karl Malone","PF","UTA",1996,32,82,2.91,2.61,2.8,4.11,12.43
"2849","Chris Paul","PG","LAC",2017,31,61,2.96,3.18,3.43,2.85,12.42
"3985","David Robinson","C","SAS",1990,24,82,2.98,2.76,2.77,3.91,12.42
"10169","LeBron James","SF","CLE",2017,32,74,3.16,2.39,3.02,3.84,12.41
"8858","Julius Erving","SF","PHI",1982,31,81,2.89,2.53,3.06,3.91,12.39
"8999","Karl Malone","PF","UTA",1990,26,82,3.2,2.83,2.58,3.78,12.39
"825","Anthony Davis","PF","NOP",2018,24,75,3.62,2.76,2.69,3.32,12.38
"14707","Shaquille O'Neal","C","LAL",2003,30,67,3.77,2.92,2.62,3.05,12.36
"8973","Kareem Abdul-Jabbar","C","LAL",1980,32,82,2.74,2.5,2.88,4.24,12.35
"11512","Michael Jordan","SG","CHI",1985,21,82,2.86,2.24,2.91,4.31,12.32
"11524","Michael Jordan","SG","CHI",1998,34,82,2.72,2.7,2.77,4.11,12.29
"8857","Julius Erving","SF","PHI",1981,30,82,2.69,2.57,2.99,3.98,12.23
"5324","Elton Brand","PF","LAC",2006,26,79,3.03,2.53,2.69,3.91,12.17
"9961","Larry Bird","PF","BOS",1983,26,79,2.45,2.46,2.99,4.17,12.07
"8035","Jimmy Butler","SF","CHI",2017,27,76,2.69,2.66,2.91,3.78,12.05
"9962","Larry Bird","PF","BOS",1984,27,79,2.47,2.28,3.02,4.24,12.01
"16499","Vince Carter","SF","TOR",2001,24,75,2.67,2.15,3.02,4.17,12.01
"15631","Tim Duncan","PF","SAS",2005,28,66,3.16,2.83,3.02,2.99,11.99
"738","Anfernee Hardaway","PG","ORL",1996,24,82,2.57,2.53,2.88,3.98,11.96
"2609","Chauncey Billups","PG","DET",2008,31,78,2.33,3.05,3.06,3.51,11.95
"8856","Julius Erving","SF","PHI",1980,29,78,2.76,2.24,3.02,3.91,11.94
"15399","Terrell Brandon","PG","CLE",1996,25,75,2.72,2.68,2.99,3.51,11.9
"6358","Hakeem Olajuwon","C","HOU",1994,31,80,2.74,2.18,2.73,4.24,11.89
"6036","Giannis Antetokounmpo","SF","MIL",2017,22,80,2.94,2.18,2.91,3.84,11.88
"14703","Shaquille O'Neal","C","LAL",1999,26,49,4.03,3.01,2.84,1.99,11.88
"5011","Dwyane Wade","SG","MIA",2007,25,51,3.62,2.35,3.25,2.65,11.87
"8463","John Stockton","PG","UTA",1994,31,82,2.06,2.26,3.17,4.37,11.86
"10172","LeBron James","PG","LAL",2020,35,60,2.91,2.33,3.43,3.18,11.86
"15032","Stephen Curry","PG","GSW",2018,29,51,3.45,3.24,3.06,2.06,11.81
"15633","Tim Duncan","C","SAS",2007,30,80,2.94,2.55,2.8,3.51,11.8
"10660","Manu Ginobili","SG","SAS",2008,30,74,2.5,2.59,3.28,3.38,11.75
"15028","Stephen Curry","PG","GSW",2014,25,78,2.45,2.46,2.95,3.84,11.7
"3430","Damian Lillard","PG","POR",2018,27,73,2.72,2.5,2.88,3.58,11.67
"14699","Shaquille O'Neal","C","ORL",1995,22,79,3.55,2.55,2.36,3.18,11.64
"2843","Chris Paul","PG","NOH",2011,25,80,2.35,2.59,2.84,3.84,11.62
"9380","Kevin Durant","SF","OKC",2012,23,66,2.96,2.55,2.8,3.25,11.57
"9023","Kawhi Leonard","SF","LAC",2020,28,51,3.08,2.4,3.54,2.46,11.48
"6710","Isaiah Thomas","PG","BOS",2017,27,76,3.03,2.63,2.69,3.12,11.47
"9383","Kevin Durant","SF","OKC",2015,26,27,3.3,2.96,3.91,1.27,11.44
"10468","Luka Doncic","PG","DAL",2020,20,54,3.33,2.28,3.32,2.52,11.44
"3110","Clyde Drexler","SG","POR",1988,25,81,2.45,2.13,2.8,4.04,11.42
"7112","James Harden","SG","HOU",2016,26,82,2.74,2.07,2.66,3.91,11.38
"16042","Tracy McGrady","SG","ORL",2001,21,77,2.64,1.79,2.8,4.04,11.28
"8974","Kareem Abdul-Jabbar","C","LAL",1981,33,80,2.79,2.55,2.47,3.45,11.26
"5015","Dwyane Wade","SG","MIA",2011,29,76,2.81,2.33,2.66,3.45,11.25
"629","Andrei Kirilenko","PF","UTA",2004,22,78,2.08,1.85,3.13,4.17,11.24
"2607","Chauncey Billups","PG","DET",2006,29,81,2.28,3,2.51,3.45,11.23
"10557","Magic Johnson","SG","LAL",1982,22,78,2.15,2.13,2.88,4.04,11.2
"15031","Stephen Curry","PG","GSW",2017,28,79,2.57,2.53,2.77,3.32,11.19
"10659","Manu Ginobili","SG","SAS",2007,29,75,2.45,2.85,3.1,2.79,11.18
"9386","Kevin Durant","SF","GSW",2018,29,68,2.91,2.28,2.91,3.05,11.15
"9010","Karl Malone","PF","UTA",2001,37,81,2.59,2.31,2.66,3.58,11.14
"9415","Kevin Garnett","PF","MIN",2002,25,81,2.37,1.89,2.73,4.11,11.1
"9001","Karl Malone","PF","UTA",1992,28,81,2.76,2.68,2.32,3.32,11.09
"10558","Magic Johnson","SG","LAL",1983,23,79,2.18,2.13,2.88,3.91,11.09
"14496","Scottie Pippen","SF","CHI",1994,28,72,2.23,1.89,3.06,3.91,11.09
"5842","Gary Payton","PG","SEA",2000,31,82,2.33,1.91,2.58,4.24,11.05
"6037","Giannis Antetokounmpo","PF","MIL",2018,23,75,3.23,2.13,2.51,3.18,11.05
"4644","Dirk Nowitzki","PF","DAL",2008,29,77,2.57,2.42,2.66,3.38,11.03
"4425","Derrick Rose","PG","CHI",2011,22,81,2.3,2.15,2.73,3.84,11.02
"14497","Scottie Pippen","SF","CHI",1995,29,79,2.08,1.78,2.99,4.17,11.02
"12299","Nikola Jokic","C","DEN",2017,21,73,2.98,2.52,2.91,2.59,11
"15490","Terry Porter","PG","POR",1991,27,81,1.86,2.64,2.95,3.51,10.97
"2463","Charles Barkley","PF","PHI",1987,23,68,2.69,2.18,2.69,3.38,10.95
"12691","Paul George","SF","OKC",2019,28,77,2.25,2.02,2.88,3.78,10.92
"3988","David Robinson","C","SAS",1993,27,82,2.47,1.94,2.58,3.91,10.91
"495","Amar'e Stoudemire","C","PHO",2008,25,79,3.3,3.14,1.99,2.46,10.89
"10167","LeBron James","SF","CLE",2015,30,69,2.89,1.98,2.84,3.18,10.89
"16043","Tracy McGrady","SG","ORL",2002,22,76,2.69,1.79,2.73,3.65,10.86
"3432","Damian Lillard","PG","POR",2020,29,58,2.96,2.28,2.88,2.72,10.83
"9000","Karl Malone","PF","UTA",1991,27,82,2.62,2.46,2.21,3.51,10.81
"10561","Magic Johnson","PG","LAL",1986,26,72,2.42,2.48,2.69,3.18,10.78
"9665","Kobe Bryant","SG","LAL",2007,28,77,2.94,1.98,2.4,3.45,10.76
"2850","Chris Paul","PG","HOU",2018,32,58,2.52,3.2,2.84,2.19,10.75
"9444","Kevin Johnson","PG","PHO",1991,24,77,2.35,2.37,2.66,3.38,10.75
"1823","Brandon Roy","SG","POR",2009,24,78,2.42,2.42,2.51,3.38,10.74
"4988","Dwight Howard","C","ORL",2011,25,78,2.94,2.64,2.18,2.99,10.74
"10560","Magic Johnson","PG","LAL",1985,25,77,2.23,2.37,2.69,3.45,10.74
"9022","Kawhi Leonard","SF","TOR",2019,27,60,2.86,2.44,2.88,2.52,10.7
"10556","Magic Johnson","SG","LAL",1981,21,37,2.84,2.46,3.47,1.93,10.69
"5016","Dwyane Wade","SG","MIA",2012,30,49,2.98,2.5,3.13,2.06,10.68
"8466","John Stockton","PG","UTA",1997,34,82,1.96,2.48,2.66,3.58,10.67
"3111","Clyde Drexler","SG","POR",1989,26,78,2.33,1.94,2.62,3.78,10.66
"8998","Karl Malone","PF","UTA",1989,25,80,2.52,2.61,2.21,3.32,10.66
"14702","Shaquille O'Neal","C","LAL",1998,25,60,3.6,2.44,2.36,2.26,10.66
"12302","Nikola Jokic","C","DEN",2020,24,65,2.67,2.16,3.02,2.79,10.64
"2468","Charles Barkley","SF","PHI",1992,28,75,2.55,2.09,2.54,3.45,10.63
"14132","Rudy Gobert","C","UTA",2019,26,81,2.57,3.26,2.21,2.59,10.63
"3112","Clyde Drexler","SG","POR",1990,27,73,1.98,2.15,2.91,3.58,10.62
"9004","Karl Malone","PF","UTA",1995,31,82,2.69,2.22,2.29,3.38,10.58
"12618","Patrick Ewing","C","NYK",1990,27,82,2.86,2.09,2.25,3.38,10.58
"824","Anthony Davis","C","NOP",2017,23,75,3.28,1.91,2.4,2.99,10.57
"9666","Kobe Bryant","SG","LAL",2008,29,82,2.47,2.15,2.36,3.58,10.56
"8465","John Stockton","PG","UTA",1996,33,82,1.91,2.26,2.73,3.65,10.54
"12300","Nikola Jokic","C","DEN",2018,22,75,2.52,2.2,2.77,3.05,10.54
"9008","Karl Malone","PF","UTA",1999,35,49,2.81,2.96,2.69,2.06,10.53
"3113","Clyde Drexler","SG","POR",1991,28,82,1.96,2.16,2.73,3.65,10.5
"9960","Larry Bird","PF","BOS",1982,25,77,2.08,2.09,2.66,3.65,10.47
"3995","David Robinson","C","SAS",2000,34,80,2.57,2.7,2.4,2.79,10.45
"16046","Tracy McGrady","SF","HOU",2005,25,78,2.15,1.63,2.69,3.98,10.45
"3431","Damian Lillard","PG","POR",2019,28,80,2.35,2.09,2.58,3.38,10.4
"9846","Kyrie Irving","PG","BOS",2018,25,60,2.67,2.4,2.91,2.39,10.38
"12057","Moses Malone","C","HOU",1982,26,81,3.11,2.33,1.88,3.05,10.37
"12321","Nikola Vucevic","C","ORL",2019,28,80,2.79,1.87,2.66,3.05,10.36
"9667","Kobe Bryant","SG","LAL",2009,30,82,2.52,2.11,2.4,3.32,10.34
"15626","Tim Duncan","PF","SAS",2000,23,74,2.62,2.33,2.29,3.05,10.29
"9413","Kevin Garnett","PF","MIN",2000,23,81,2.33,1.48,2.54,3.91,10.26
"10171","LeBron James","SF","LAL",2019,34,55,2.81,1.61,3.17,2.65,10.25
"420","Alonzo Mourning","C","MIA",2000,29,79,2.86,2.48,2.18,2.72,10.24
"2471","Charles Barkley","PF","PHO",1995,31,68,2.72,2.26,2.54,2.72,10.24
"492","Amar'e Stoudemire","C","PHO",2005,22,80,3.06,2.79,1.84,2.52,10.22
"9494","Kevin McHale","PF","BOS",1987,29,77,2.42,2.59,2.1,3.05,10.17
"10657","Manu Ginobili","SG","SAS",2005,27,74,2.01,2.74,2.77,2.65,10.17
"382","Allen Iverson","SG","PHI",2001,25,71,2.42,1.81,2.47,3.45,10.15
"4638","Dirk Nowitzki","C","DAL",2002,23,76,2.45,2.4,2.25,3.05,10.15
"8992","Karl-Anthony Towns","C","MIN",2018,22,82,2.64,2.55,2.1,2.85,10.15
"8993","Karl-Anthony Towns","C","MIN",2019,23,77,2.98,1.94,2.43,2.79,10.15
"15186","Steve Nash","PG","PHO",2007,32,76,2.37,2.46,2.4,2.92,10.15
"12025","Mookie Blaylock","PG","ATL",1997,29,78,1.54,1.94,2.73,3.91,10.13
"3994","David Robinson","C","SAS",1999,33,49,2.64,3.13,2.69,1.66,10.12
"4637","Dirk Nowitzki","PF","DAL",2001,22,82,2.13,2.44,2.21,3.32,10.1
"9847","Kyrie Irving","PG","BOS",2019,26,67,2.5,1.94,2.88,2.79,10.1
"6353","Hakeem Olajuwon","C","HOU",1989,26,82,2.72,1.94,2.25,3.18,10.09
"3117","Clyde Drexler","SG","POR , HOU",1995,32,76,2.03,2.11,2.62,3.32,10.08
"9003","Karl Malone","PF","UTA",1994,30,82,2.15,1.87,2.32,3.71,10.06
"15636","Tim Duncan","C","SAS",2010,33,78,2.59,2.28,2.47,2.72,10.06
"6046","Gilbert Arenas","PG","WAS",2006,24,80,2.37,1.87,2.21,3.58,10.04
"9414","Kevin Garnett","PF","MIN",2001,24,81,2.4,1.55,2.43,3.65,10.03
"7404","Jason Kidd","PG","NJN",2003,29,80,1.98,1.66,2.66,3.71,10.02
"630","Andrei Kirilenko","PF","UTA",2005,23,41,2.52,1.94,3.61,1.93,10.01
"8469","John Stockton","PG","UTA",2000,37,82,2.03,2.4,2.66,2.92,10.01
"8859","Julius Erving","SF","PHI",1983,32,72,2.2,2.31,2.62,2.85,9.99
"14709","Shaquille O'Neal","C","MIA",2005,32,73,3.16,2.2,2.18,2.46,9.99
"14164","Russell Westbrook","PG","OKC",2018,29,80,2.59,1.37,2.54,3.45,9.96
"12732","Paul Pierce","SG","BOS",2002,24,82,2.01,1.76,2.4,3.78,9.94
"15033","Stephen Curry","PG","GSW",2019,30,69,2.52,1.98,2.66,2.79,9.94
"13254","Ray Allen","SG","MIL",2001,25,82,2.15,2.2,2.25,3.32,9.92
"8470","John Stockton","PG","UTA",2001,38,82,2.01,2.29,2.69,2.92,9.91
"11683","Mike Conley","PG","MEM",2017,29,69,2.23,2.16,2.73,2.79,9.91
"7110","James Harden","SG","HOU",2014,24,73,2.3,2.39,2.29,2.92,9.89
"14701","Shaquille O'Neal","C","LAL",1997,24,51,3.18,1.94,2.62,2.13,9.87
"1097","Arvydas Sabonis","C","POR",1996,31,73,2.59,2.61,2.69,1.93,9.82
"6354","Hakeem Olajuwon","C","HOU",1990,27,82,2.45,1.5,2.36,3.51,9.82
"7109","James Harden","SG","HOU",2013,23,78,2.18,2.11,2.29,3.25,9.82
"15655","Tim Hardaway","PG","MIA",1997,30,81,1.64,1.96,2.51,3.71,9.82
"4986","Dwight Howard","C","ORL",2009,23,79,2.76,2.63,1.88,2.52,9.8
"14494","Scottie Pippen","SF","CHI",1992,26,82,1.81,1.85,2.47,3.65,9.78
"6359","Hakeem Olajuwon","C","HOU",1995,32,72,2.91,1.65,2.21,2.99,9.76
"6729","Isiah Thomas","PG","DET",1985,23,81,1.98,1.5,2.54,3.71,9.74
"8991","Karl-Anthony Towns","C","MIN",2017,21,82,2.89,2.02,1.95,2.85,9.71
"14498","Scottie Pippen","SF","CHI",1996,30,77,1.69,2.16,2.54,3.32,9.71
"4192","DeMarcus Cousins","C","SAC , NOP",2017,26,72,2.86,1.05,2.73,3.05,9.7
"13697","Robert Parish","C","BOS",1981,27,82,2.72,2.52,2.21,2.26,9.7
"10559","Magic Johnson","PG","LAL",1984,24,67,2.08,1.83,2.66,3.12,9.69
"12669","Pau Gasol","C","LAL",2011,30,82,2.25,2.59,1.99,2.85,9.69
"14788","Shawn Marion","PF","PHO",2006,27,81,2.33,2.26,1.99,3.12,9.69
"14863","Sidney Moncrief","SG","MIL",1983,25,76,2.08,2.61,2.21,2.79,9.69
"152","Adrian Dantley","SF","UTA",1986,30,76,2.57,2.42,2.03,2.59,9.61
"4687","Dominique Wilkins","SF","ATL",1987,27,79,2.3,1.94,2.25,3.12,9.61
"3996","David Robinson","C","SAS",2001,35,80,2.35,2.85,2.14,2.26,9.6
"16045","Tracy McGrady","SG","ORL",2004,24,67,2.74,1.09,2.58,3.18,9.6
"14499","Scottie Pippen","SF","CHI",1997,31,82,1.76,2.05,2.32,3.45,9.59
"9387","Kevin Durant","SF","GSW",2019,30,78,2.47,2.07,2.25,2.79,9.58
"10662","Manu Ginobili","SG","SAS",2010,32,75,2.06,2.29,2.69,2.52,9.57
"2472","Charles Barkley","PF","PHO",1996,32,71,2.62,1.83,2.32,2.79,9.56
"8994","Karl-Anthony Towns","C","MIN",2020,24,35,3.03,2.09,3.1,1.33,9.55
"12622","Patrick Ewing","C","NYK",1994,31,79,2.15,2.2,2.14,3.05,9.55
"10563","Magic Johnson","PG","LAL",1988,28,72,2.2,1.98,2.43,2.92,9.54
"150","Adrian Dantley","SF","UTA",1984,28,79,2.57,2.64,1.77,2.52,9.51
"6351","Hakeem Olajuwon","C","HOU",1987,24,75,2.37,1.79,2.36,2.99,9.51
"8462","John Stockton","PG","UTA",1993,30,82,1.76,1.57,2.66,3.51,9.51
"10658","Manu Ginobili","SG","SAS",2006,28,65,2.03,2.63,2.73,2.13,9.51
"16498","Vince Carter","SF","TOR",2000,23,82,2.28,1.66,2.25,3.32,9.51
"2882","Chris Webber","PF","SAC",2001,27,70,2.59,1.74,2.25,2.92,9.5
"14785","Shawn Marion","SF","PHO",2003,24,81,1.76,1.74,2.29,3.71,9.5
"4690","Dominique Wilkins","SF","ATL",1990,30,80,2.57,1.7,2.21,2.99,9.47
"5839","Gary Payton","PG","SEA",1997,28,82,1.89,1.87,2.25,3.45,9.45
"9810","Kyle Lowry","PG","TOR",2016,29,77,1.98,1.92,2.36,3.18,9.45
"12664","Pau Gasol","PF","MEM",2006,25,80,2.11,1.7,2.25,3.38,9.44
"10989","Mark Price","PG","CLE",1994,29,76,2.11,2.02,2.58,2.72,9.42
"1592","Boban Marjanovic","C","SAS",2016,27,54,3.33,4.31,1.81,-0.05,9.39
"9811","Kyle Lowry","PG","TOR",2017,30,60,2.15,2.29,2.47,2.46,9.38
"12058","Moses Malone","C","PHI",1983,27,78,2.69,2.89,1.59,2.19,9.36
"9662","Kobe Bryant","SG","LAL",2004,25,65,2.35,2.18,2.29,2.52,9.34
"14130","Rudy Gobert","C","UTA",2017,24,81,2.25,2.92,1.84,2.32,9.34
"2881","Chris Webber","PF","SAC",2000,26,75,2.28,1.61,2.32,3.12,9.33
"6144","Grant Hill","SF","DET",2000,27,74,2.55,1.72,2.21,2.85,9.33
"9465","Kevin Love","PF","MIN",2012,23,55,2.76,2.42,2.14,1.99,9.32
"821","Anthony Davis","PF","NOP",2014,20,67,3.03,2.22,1.99,2.06,9.31
"15627","Tim Duncan","PF","SAS",2001,24,82,2.37,2,1.95,2.99,9.31
"6548","Horace Grant","PF","CHI",1992,26,81,1.59,2.68,2.18,2.85,9.3
"6355","Hakeem Olajuwon","C","HOU",1991,28,56,2.5,2.02,2.51,2.26,9.28
"5844","Gary Payton","PG","SEA",2002,33,82,2.15,1.68,2.1,3.32,9.26
"15634","Tim Duncan","C","SAS",2008,31,78,2.52,2.02,2.14,2.59,9.26
"4693","Dominique Wilkins","SF","ATL",1993,33,71,2.5,1.83,2.21,2.65,9.2
"15185","Steve Nash","PG","PHO",2006,31,79,2.25,2.22,2.07,2.65,9.19
"9420","Kevin Garnett","PF","MIN",2007,30,76,2.45,1.46,2.21,3.05,9.17
