"","Player","Pos","Team","year","Age","G","PERz","WSper48z","BPMz","VORPz","score"
"12726","Paul Mokeski","C","MIL",1989,32,74,-1.43,-0.37,-1.11,-0.78,-3.69
"14780","Shawn Kemp","C","ORL",2003,33,79,-0.58,-0.61,-1.33,-1.18,-3.69
"14874","Sindarius Thornwell","SG","LAC",2018,23,73,-1.43,-0.94,-0.66,-0.65,-3.69
"15002","Stanislav Medvedenko","PF","LAL",2005,25,43,-0.53,-0.72,-1.66,-0.78,-3.69
"1542","Bob Hansen","SG","UTA",1985,24,54,-1,-0.79,-1.11,-0.78,-3.68
"3612","Danny Ferry","PF","CLE",1998,31,69,-1.61,-0.79,-0.63,-0.65,-3.68
"3845","Darrick Martin","PG","LAC",1999,27,37,-0.6,-1.52,-0.85,-0.71,-3.68
"4716","Don MacLean","PF","WSB",1995,25,39,-0.58,-0.76,-1.36,-0.98,-3.68
"4923","Duane Causwell","C","SAC",1997,28,46,-1.26,-0.59,-1.11,-0.71,-3.68
"7724","Jeff Wilkins","C","UTA",1983,27,81,-0.6,-0.79,-1.11,-1.18,-3.68
"7824","Jerome James","C","SEA",2002,26,56,-0.53,-0.87,-1.36,-0.91,-3.68
"8206","Joe Wolf","C","MIL",1997,32,56,-1.51,-0.35,-1.11,-0.71,-3.68
"10978","Mark Pope","PF","MIL",2001,28,63,-1.68,-0.44,-0.85,-0.71,-3.68
"15389","Terrance Ferguson","SG","OKC",2018,19,61,-1.63,-0.28,-0.99,-0.78,-3.68
"15418","Terrence Ross","SG","ORL",2018,26,24,-1.02,-1.24,-0.77,-0.65,-3.68
"6540","Hollis Thompson","SF","PHI",2014,22,77,-1.12,-0.68,-0.96,-0.91,-3.67
"6807","J.R. Reid","PF","MIL",2000,31,34,-1.24,-0.61,-1.11,-0.71,-3.67
"6821","J.R. Smith","SG","CLE",2017,31,41,-1.46,-1.07,-0.55,-0.58,-3.67
"7204","James Worthy","SF","LAL",1994,32,80,-0.31,-1.66,-0.85,-0.85,-3.67
"9830","Kyle Singler","SF","DET",2013,24,82,-1,-0.81,-0.88,-0.98,-3.67
"11930","Mitch Kupchak","PF","LAL",1986,31,55,-0.82,-0.42,-1.51,-0.91,-3.67
"12017","Moochie Norris","PG","HOU , NOK",2006,32,45,-0.97,-1.16,-0.88,-0.65,-3.67
"12437","Omri Casspi","PF","SAC , NOP",2017,28,36,-1,-1,-0.96,-0.71,-3.67
"16061","Tracy Murray","SF","POR , HOU",1995,23,54,-0.8,-0.83,-1.25,-0.78,-3.67
"16731","Wayne Cooper","C","DEN",1987,30,69,-0.68,-0.59,-1.29,-1.11,-3.67
"925","Anthony Tolliver","SF","MIN",2012,26,51,-1.41,-0.79,-0.74,-0.71,-3.66
"2108","Buck Johnson","SF","WSB",1993,29,73,-0.82,-0.85,-1.07,-0.91,-3.66
"5519","Erick Strickland","SG","DAL",1997,23,28,-0.75,-1.39,-0.81,-0.71,-3.66
"5680","Frank Brickowski","C","SEA",1996,36,63,-1.34,-0.3,-1.18,-0.85,-3.66
"5708","Frank Williams","PG","NYK",2004,23,56,-0.82,-1.28,-0.85,-0.71,-3.66
"7334","Jarron Collins","C","UTA",2003,24,22,-1.43,-0.26,-1.25,-0.71,-3.66
"8211","Joe Young","PG","IND",2018,25,53,-0.97,-0.91,-1.07,-0.71,-3.66
"9108","Kelly Oubre Jr.","SF","WAS",2017,21,79,-1.22,-0.57,-0.96,-0.91,-3.66
"9851","Kyrylo Fesenko","C","UTA",2010,23,49,-1.07,-0.41,-1.4,-0.78,-3.66
"10452","Lucious Harris","SG","CLE",2005,34,73,-1.24,-0.68,-0.96,-0.78,-3.66
"10852","Mark Acres","C","BOS",1989,26,62,-1.43,-0.48,-1.03,-0.71,-3.66
"12376","Okaro White","PF","MIA",2017,24,35,-1.61,-0.48,-0.92,-0.65,-3.66
"15729","Timofey Mozgov","C","LAL",2017,30,54,-0.43,-0.81,-1.36,-1.05,-3.66
"16128","Tree Rollins","C","CLE",1990,34,48,-1.29,-0.78,-0.88,-0.71,-3.66
"793","Anthony Bowie","SG","HOU",1990,26,66,-1.29,-1.02,-0.7,-0.65,-3.65
"3874","Darvin Ham","SF","WAS",1998,24,71,-1.19,-0.42,-1.25,-0.78,-3.65
"4626","Dion Waiters","SG","OKC",2016,24,78,-1.14,-0.85,-0.81,-0.85,-3.65
"5239","Eduardo Najera","PF","DAL , NJN",2010,33,46,-1.39,-0.63,-0.92,-0.71,-3.65
"5411","Eric Leckner","C","UTA",1989,22,75,-1.07,0.02,-1.62,-0.98,-3.65
"7171","James Robinson","PG","LAC",1998,27,70,-0.41,-1.57,-0.88,-0.78,-3.65
"10953","Mark Madsen","PF","LAL",2003,27,54,-1.17,-0.42,-1.22,-0.85,-3.65
"1901","Brian Cardinal","PF","MIN",2009,31,64,-1.46,-0.87,-0.66,-0.65,-3.64
"2056","Bryan Warrick","PG","LAC",1985,25,58,-0.87,-1.05,-0.99,-0.71,-3.64
"6927","Jake Voskuhl","C","CHA",2006,28,51,-0.75,-0.57,-1.4,-0.91,-3.64
"10881","Mark Blount","C","MIN , BOS",2006,30,81,-0.48,-1.02,-1.03,-1.11,-3.64
"12295","Nik Stauskas","SG","BRK , PHI",2018,24,41,-1.24,-1.13,-0.63,-0.65,-3.64
"12806","Pervis Ellison","C","WSB",1994,26,47,-0.82,-1.15,-0.88,-0.78,-3.64
"15469","Terry Duerod","SG","DET",1980,23,67,-0.58,-1.22,-0.99,-0.85,-3.64
"15616","Tierre Brown","SG","HOU",2002,22,40,-0.41,-1.59,-0.99,-0.65,-3.64
"16338","Tyrone Hill","PF","GSW",1991,22,74,-0.87,-0.15,-1.51,-1.11,-3.64
"778","Anthony Avent","PF","ORL",1995,25,71,-1.04,-0.42,-1.25,-0.91,-3.63
"1412","Billy Knight","SF-SG","SAS , KCK",1985,32,68,-0.58,-1.24,-1.03,-0.78,-3.63
"1566","Bob McCann","SF","MIN",1993,28,79,-0.78,-0.94,-0.99,-0.91,-3.63
"2025","Bruce Bowen","SF","MIA , PHI",2000,28,69,-1.8,-0.52,-0.66,-0.65,-3.63
"3685","Danny Vranes","SF","SEA",1985,26,76,-1.41,-0.98,-0.59,-0.65,-3.63
"4463","DeShawn Stevenson","SG-SF","UTA , ORL",2004,22,80,-0.6,-1.16,-0.88,-0.98,-3.63
"7349","Jarvis Hayes","SF","NJN",2010,28,45,-1.07,-1,-0.85,-0.71,-3.63
"9981","Larry Drew","PG","LAC",1988,29,74,-0.58,-1.15,-0.92,-0.98,-3.63
"10501","Luke Ridnour","PG","ORL",2015,33,47,-1,-0.92,-0.99,-0.71,-3.63
"12018","Mookie Blaylock","PG","NJN",1990,22,50,-0.63,-1.9,-0.52,-0.58,-3.63
"12114","Nassir Little","PF","POR",2020,19,48,-1.07,-0.78,-1.07,-0.71,-3.63
"14069","Roy Rogers","PF","VAN",1997,23,82,-0.36,-1.02,-1.14,-1.11,-3.63
"14831","Shelvin Mack","PG","MEM , CHO",2019,28,57,-0.9,-1.07,-0.88,-0.78,-3.63
"15270","Stuart Gray","C","IND",1989,25,72,-1.22,-0.7,-0.99,-0.71,-3.63
"15869","Tomas Satoransky","SG","WAS",2017,25,57,-1.36,-0.96,-0.66,-0.65,-3.63
"16321","Tyreke Evans","SG","IND",2019,29,69,-0.63,-1.52,-0.77,-0.71,-3.63
"16925","Winston Garland","PG","MIN",1995,30,73,-0.97,-1.15,-0.74,-0.78,-3.63
"236","Alan Anderson","SF","CHA",2006,23,36,-0.9,-1.02,-0.99,-0.71,-3.62
"2431","Cedrick Hordges","PF","DEN",1981,24,68,-0.82,-0.89,-0.99,-0.91,-3.62
"2984","Chucky Brown","SF","LAL , CLE",1992,23,42,-0.8,-1.03,-1.07,-0.71,-3.62
"6051","Gilbert Arenas","PG","ORL , WAS",2011,29,70,-0.8,-1.44,-0.66,-0.71,-3.62
"7737","Jelani McCoy","C","TOR",2003,25,67,-0.41,-1.05,-1.18,-0.98,-3.62
"9760","Kwame Brown","PF","WAS",2002,19,57,-0.7,-0.81,-1.25,-0.85,-3.62
"12724","Paul Mokeski","C","MIL",1987,30,62,-1.63,-0.2,-1.07,-0.71,-3.62
"14534","Sean Kilpatrick","SG","CHI , LAC",2018,28,52,-0.6,-1.55,-0.81,-0.65,-3.62
"240","Alan Anderson","SF","BRK",2014,31,78,-1.12,-0.83,-0.81,-0.85,-3.61
"1484","Blair Rasmussen","C","DEN",1989,26,77,-0.6,-0.5,-1.4,-1.11,-3.61
"2059","Bryant Reeves","C","VAN",1997,23,75,0.08,-0.92,-1.25,-1.51,-3.61
"2623","Cherokee Parks","C","DAL",1996,23,64,-0.78,-0.78,-1.22,-0.85,-3.61
"3565","Daniel Gibson","SG","CLE",2012,25,35,-1.19,-1.18,-0.59,-0.65,-3.61
"3750","Darius Songaila","C","NOH",2010,31,75,-0.6,-0.89,-1.14,-0.98,-3.61
"6098","Glenn Robinson III","SF","DET",2019,25,47,-1.31,-0.7,-0.88,-0.71,-3.61
"8931","Justise Winslow","SF","MIA",2016,19,78,-1.39,-0.7,-0.74,-0.78,-3.61
"10318","Lonnie Walker","SG","SAS",2020,21,53,-0.75,-1.18,-0.96,-0.71,-3.61
"10706","Marc Jackson","PF","NOK",2007,32,56,-0.53,-1.09,-1.14,-0.85,-3.61
"10766","Marcus Fizer","SF","CHI",2004,25,46,-0.17,-1.09,-1.44,-0.91,-3.61
"12762","Paul Silas","PF","SEA",1980,36,82,-1.43,-0.48,-0.85,-0.85,-3.61
"13019","Rafael Addison","SF","DET",1995,30,79,-0.68,-0.96,-0.99,-0.98,-3.61
"16150","Trenton Hassell","SG","CHI",2002,22,78,-0.9,-1.09,-0.77,-0.85,-3.61
"16739","Wayne Ellington","SG","MIN",2012,24,51,-1.14,-0.94,-0.81,-0.71,-3.61
"16900","Wilson Chandler","SF","NYK",2008,20,35,-0.58,-1,-1.25,-0.78,-3.61
"4757","Donell Taylor","SG","WAS",2006,23,51,-0.97,-1.39,-0.66,-0.58,-3.6
"4783","Donte Greene","SF","SAC",2011,22,69,-1.07,-1.29,-0.59,-0.65,-3.6
"6422","Harvey Catchings","PF","MIL",1984,32,69,-1.8,-0.67,-0.55,-0.58,-3.6
"7918","Jerry Stackhouse","SF","WAS",2004,29,26,-0.21,-1.46,-1.14,-0.78,-3.6
"9302","Kenrich Williams","PF","NOP",2020,25,35,-1.58,-0.74,-0.63,-0.65,-3.6
"9980","Larry Drew","PG","LAC",1987,28,60,-0.24,-1.63,-0.88,-0.85,-3.6
"10808","Marcus Williams","PG","NJN",2008,22,53,-0.75,-1.53,-0.66,-0.65,-3.6
"10951","Mark Madsen","PF","LAL",2001,25,70,-1.19,-0.13,-1.44,-0.85,-3.6
"11638","Mike Batiste","PF","MEM",2003,25,75,-0.46,-1.16,-1.07,-0.91,-3.6
"11701","Mike Dunleavy","SF","CHI",2016,35,31,-1.22,-0.54,-1.07,-0.78,-3.6
"14211","Ryan Hollins","C","CLE",2011,26,70,-0.82,-0.37,-1.36,-1.05,-3.6
"1608","Bobby Jackson","PG","DEN",1998,24,68,-0.12,-1.96,-0.74,-0.78,-3.59
"4633","Dirk Minniefield","PG","HOU , CLE",1987,26,74,-0.92,-1.11,-0.77,-0.78,-3.59
"4714","Don MacLean","PF","WSB",1993,23,62,-0.02,-1.15,-1.51,-0.91,-3.59
"5383","Eric Bledsoe","PG","LAC",2011,21,81,-0.8,-1.55,-0.59,-0.65,-3.59
"5493","Eric Williams","SF","BOS",2002,29,74,-1.29,-0.57,-0.88,-0.85,-3.59
"6720","Ish Smith","PG","PHI , OKC",2015,26,55,-0.43,-1.81,-0.7,-0.65,-3.59
"10606","Malik Allen","PF","MIA",2004,25,45,-0.87,-0.76,-1.18,-0.78,-3.59
"11068","Marquese Chriss","PF","PHO",2018,20,72,-0.73,-1.28,-0.81,-0.78,-3.59
"12270","Nick Young","SG","GSW",2018,32,80,-1,-0.61,-1.07,-0.91,-3.59
"13618","Ricky Pierce","SG","MIL",1998,38,39,-1.04,-1.09,-0.81,-0.65,-3.59
"14430","Scott Hastings","C","MIA",1989,28,75,-1.14,-0.57,-1.03,-0.85,-3.59
"15593","Thon Maker","C","MIL",2018,20,74,-0.95,-0.67,-1.07,-0.91,-3.59
"15974","Tony Massenburg","PF","NJN",1997,29,79,-0.53,-0.42,-1.33,-1.31,-3.59
"3049","Cliff Levingston","PF","DEN",1995,34,57,-0.87,-0.74,-1.25,-0.71,-3.58
"3760","Darko Milicic","C","MIN",2011,25,69,-0.46,-1.57,-0.77,-0.78,-3.58
"14330","Sam Young","SG","IND",2013,27,56,-1.61,-0.55,-0.77,-0.65,-3.58
"15010","Stanley Johnson","SF","DET , NOP",2019,22,66,-1.09,-1.31,-0.59,-0.58,-3.58
"15528","Thabo Sefolosha","SG","CHI",2007,22,71,-1.36,-0.83,-0.74,-0.65,-3.58
"16242","Troy Hudson","PG","MIN",2007,30,34,-0.8,-1.61,-0.59,-0.58,-3.58
"16282","Tyler Ennis","PG","LAL , HOU",2017,22,53,-0.78,-1.13,-0.96,-0.71,-3.58
"1198","Baron Davis","PG","NYK",2012,32,29,-1,-1.44,-0.55,-0.58,-3.57
"3164","Corey Brewer","SF","HOU , LAL",2017,30,82,-1.22,-0.87,-0.77,-0.71,-3.57
"3347","D.J. White","PF","CHA",2012,25,58,-0.41,-1.07,-1.18,-0.91,-3.57
"3802","Darrell Griffith","SG","UTA",1981,22,81,0.15,-1.59,-0.96,-1.18,-3.57
"5479","Eric Snow","SG","CLE",2005,31,81,-1.24,-0.78,-0.77,-0.78,-3.57
"5691","Frank Johnson","PG","HOU",1989,30,67,-0.9,-1.07,-0.88,-0.71,-3.57
"8419","John Salley","PF","TOR , CHI",1996,31,42,-1,-0.87,-0.99,-0.71,-3.57
"14235","Salim Stoudamire","PG","ATL",2008,25,35,-0.73,-1.13,-1.07,-0.65,-3.57
"14987","Stacey King","PF","CHI",1991,24,76,-0.95,-0.61,-1.11,-0.91,-3.57
"3842","Darrick Martin","PG","MIN , VAN",1996,24,59,-0.58,-1.28,-0.92,-0.78,-3.56
"6499","Henry Walker","SF","MIA",2015,27,24,-1.48,-0.98,-0.52,-0.58,-3.56
"6898","Jahidi White","C","PHO , WAS",2004,27,62,-0.56,-0.52,-1.51,-0.98,-3.56
"7697","Jeff Teague","PG","ATL",2010,21,71,-0.75,-0.92,-1.11,-0.78,-3.56
